,Date,Polarity Score(Scaled),Polarity Score(Unscaled),Label
0,2008-08-08,-0.8523079,-0.7330843,0
1,2008-08-11,0.9647764,0.996928,1
2,2008-08-12,-1.0568888,-0.92786205,0
3,2008-08-13,-0.854806,-0.7354627,0
4,2008-08-14,0.9679968,0.99999404,1
5,2008-08-15,0.96451294,0.99667716,1
6,2008-08-18,-1.1322893,-0.9996494,0
7,2008-08-19,-1.1046633,-0.9733472,0
8,2008-08-20,0.9663783,0.99845314,1
9,2008-08-21,0.9503378,0.9831813,1
10,2008-08-22,0.9651359,0.9972702,1
11,2008-08-25,-1.1317028,-0.999091,0
12,2008-08-26,0.9667967,0.9988515,1
13,2008-08-27,0.96406734,0.9962529,1
14,2008-08-28,0.9666399,0.99870217,1
15,2008-08-29,-1.132182,-0.9995472,0
16,2008-09-02,-0.6422813,-0.5331219,0
17,2008-09-03,0.9074183,0.94231844,1
18,2008-09-04,-1.132642,-0.9999852,0
19,2008-09-05,0.9678741,0.9998773,1
20,2008-09-08,0.85473263,0.8921574,1
21,2008-09-09,-1.1111959,-0.97956675,0
22,2008-09-10,0.96769625,0.99970794,1
23,2008-09-11,0.96283805,0.99508256,1
24,2008-09-12,-1.1278158,-0.9953903,0
25,2008-09-15,-0.43013477,-0.33114108,0
26,2008-09-16,0.96221125,0.9944858,1
27,2008-09-17,-1.118704,-0.986715,0
28,2008-09-18,0.96789104,0.99989337,1
29,2008-09-19,0.9648299,0.99697894,1
30,2008-09-22,-1.1326562,-0.99999875,0
31,2008-09-23,-1.1297355,-0.997218,0
32,2008-09-24,-1.1326523,-0.999995,0
33,2008-09-25,0.9595212,0.9919246,1
34,2008-09-26,0.6726079,0.7187598,1
35,2008-09-29,-1.0051895,-0.8786401,0
36,2008-09-30,0.95628303,0.98884165,1
37,2008-10-01,-1.1269169,-0.99453443,0
38,2008-10-02,-1.1326355,-0.999979,0
39,2008-10-03,-1.1293159,-0.99681836,0
40,2008-10-06,-0.90216166,-0.78054917,0
41,2008-10-07,-1.0746076,-0.94473165,0
42,2008-10-08,-0.9139781,-0.79179937,0
43,2008-10-09,-0.77830976,-0.66263205,0
44,2008-10-10,-1.1325997,-0.9999449,0
45,2008-10-13,0.96725106,0.9992841,1
46,2008-10-14,-1.0886242,-0.95807666,0
47,2008-10-15,-1.1273701,-0.99496585,0
48,2008-10-16,0.9671457,0.9991838,1
49,2008-10-17,-1.1326543,-0.9999969,0
50,2008-10-20,0.9526154,0.9853497,1
51,2008-10-21,-1.1322962,-0.99965596,0
52,2008-10-22,-1.1198357,-0.9877926,0
53,2008-10-23,0.9634714,0.9956856,1
54,2008-10-24,-1.052264,-0.9234588,0
55,2008-10-27,-1.1196184,-0.9875856,0
56,2008-10-28,0.9593038,0.99171764,1
57,2008-10-29,-1.0837314,-0.9534183,0
58,2008-10-30,0.9674941,0.9995155,1
59,2008-10-31,0.96142983,0.9937418,1
60,2008-11-03,-1.1310815,-0.9984995,0
61,2008-11-04,0.96775687,0.99976563,1
62,2008-11-05,-1.1187731,-0.9867808,0
63,2008-11-06,-1.131525,-0.9989217,0
64,2008-11-07,0.9670996,0.9991399,1
65,2008-11-10,-1.0403847,-0.9121487,0
66,2008-11-11,-1.1326572,-0.9999996,0
67,2008-11-12,-1.1326478,-0.9999907,0
68,2008-11-13,0.9652637,0.997392,1
69,2008-11-14,-1.1326004,-0.9999456,0
70,2008-11-17,-1.1285712,-0.9961095,0
71,2008-11-18,0.96768004,0.9996925,1
72,2008-11-19,-1.0066284,-0.88000995,0
73,2008-11-20,-1.12944,-0.9969365,0
74,2008-11-21,0.96293575,0.99517554,1
75,2008-11-24,0.9678547,0.9998588,1
76,2008-11-25,0.966949,0.9989965,1
77,2008-11-26,0.9667064,0.9987655,1
78,2008-11-28,0.9475184,0.980497,1
79,2008-12-01,-1.1033918,-0.97213656,0
80,2008-12-02,0.7883124,0.8289199,1
81,2008-12-03,0.96687,0.9989213,1
82,2008-12-04,-1.1267774,-0.99440163,0
83,2008-12-05,0.9675236,0.99954355,1
84,2008-12-08,0.9654403,0.9975601,1
85,2008-12-09,-0.6132601,-0.5054913,0
86,2008-12-10,0.96505153,0.99718994,1
87,2008-12-11,-1.0734264,-0.9436071,0
88,2008-12-12,0.9054893,0.9404819,1
89,2008-12-15,-1.1185939,-0.98661023,0
90,2008-12-16,0.96797144,0.99996996,1
91,2008-12-17,-1.1297837,-0.99726385,0
92,2008-12-18,-1.0930606,-0.96230054,0
93,2008-12-19,-1.1326575,-1.0,0
94,2008-12-22,-0.9966078,-0.87046957,0
95,2008-12-23,-1.1280203,-0.9955849,0
96,2008-12-24,0.9671842,0.99922043,1
97,2008-12-26,0.96616024,0.99824554,1
98,2008-12-29,-0.7248486,-0.6117327,0
99,2008-12-30,0.9671316,0.99917036,1
100,2008-12-31,0.9661613,0.99824655,1
101,2009-01-02,0.96145904,0.9937696,1
102,2009-01-05,-1.0411885,-0.91291404,0
103,2009-01-06,0.94924295,0.9821389,1
104,2009-01-07,-1.0360748,-0.90804535,0
105,2009-01-08,0.056540847,0.13221377,0
106,2009-01-09,-0.8947505,-0.7734931,0
107,2009-01-12,-0.8669638,-0.74703795,0
108,2009-01-13,-1.1114556,-0.97981405,0
109,2009-01-14,-0.2124584,-0.12389544,0
110,2009-01-15,0.9650852,0.997222,1
111,2009-01-16,0.9678661,0.99986964,1
112,2009-01-20,-1.1299647,-0.9974363,0
113,2009-01-21,0.9674773,0.9994995,1
114,2009-01-22,-1.091202,-0.96053094,0
115,2009-01-23,-1.1181217,-0.9861607,0
116,2009-01-26,0.96798295,0.9999809,1
117,2009-01-27,0.95913464,0.9915566,1
118,2009-01-28,0.9603778,0.9927402,1
119,2009-01-29,-1.1249572,-0.9926686,0
120,2009-01-30,-1.1305143,-0.9979595,0
121,2009-02-02,-1.0616225,-0.9323688,0
122,2009-02-03,0.95072913,0.9835539,1
123,2009-02-04,-1.1326553,-0.99999785,0
124,2009-02-05,0.96783906,0.9998439,1
125,2009-02-06,0.9656263,0.99773717,1
126,2009-02-09,-1.1113144,-0.9796795,0
127,2009-02-10,-1.0883281,-0.9577947,0
128,2009-02-11,0.9619861,0.99427146,1
129,2009-02-12,-1.1221594,-0.9900049,0
130,2009-02-13,-1.1304815,-0.9979282,0
131,2009-02-17,-1.1298681,-0.99734426,0
132,2009-02-18,0.949365,0.9822551,1
133,2009-02-19,-1.1326575,-1.0,0
134,2009-02-20,-1.1325291,-0.99987775,0
135,2009-02-23,-1.1308929,-0.9983198,0
136,2009-02-24,0.96748674,0.99950844,1
137,2009-02-25,-1.1189488,-0.9869482,0
138,2009-02-26,-1.1317446,-0.99913085,0
139,2009-02-27,-0.61341256,-0.5056365,0
140,2009-03-02,-1.1288273,-0.9963534,0
141,2009-03-03,-1.1319941,-0.9993684,0
142,2009-03-04,0.9678929,0.99989516,1
143,2009-03-05,-1.13111,-0.9985265,0
144,2009-03-06,0.96786785,0.9998713,1
145,2009-03-09,-1.1318786,-0.99925834,0
146,2009-03-10,0.95125836,0.9840577,1
147,2009-03-11,0.95956373,0.9919651,1
148,2009-03-12,0.8673049,0.90412724,1
149,2009-03-13,0.96681947,0.9988732,1
150,2009-03-16,-1.0868359,-0.95637405,0
151,2009-03-17,0.96800184,0.99999887,1
152,2009-03-18,0.94540745,0.9784872,1
153,2009-03-19,-1.0665151,-0.9370269,0
154,2009-03-20,-0.5288299,-0.42510685,0
155,2009-03-23,0.93969566,0.9730491,1
156,2009-03-24,-0.9285372,-0.80566084,0
157,2009-03-25,0.9448808,0.97798574,1
158,2009-03-26,0.9480454,0.9809987,1
159,2009-03-27,-0.7566258,-0.64198714,0
160,2009-03-30,-1.07897,-0.948885,0
161,2009-03-31,0.94877553,0.98169386,1
162,2009-04-01,0.9346186,0.9682153,1
163,2009-04-02,0.80414796,0.84399664,1
164,2009-04-03,0.9544985,0.9871426,1
165,2009-04-06,-0.7134323,-0.60086346,0
166,2009-04-07,-1.1305588,-0.99800193,0
167,2009-04-08,0.9652518,0.9973806,1
168,2009-04-09,0.96791255,0.9999139,1
169,2009-04-13,-1.132657,-0.9999995,0
170,2009-04-14,-1.1326575,-0.99999994,0
171,2009-04-15,0.96776915,0.9997773,1
172,2009-04-16,0.96203554,0.9943185,1
173,2009-04-17,0.9668642,0.9989158,1
174,2009-04-20,-1.132522,-0.999871,0
175,2009-04-21,0.96771955,0.9997301,1
176,2009-04-22,-1.129705,-0.9971889,0
177,2009-04-23,0.9679957,0.999993,1
178,2009-04-24,0.9378065,0.9712505,1
179,2009-04-27,-1.0472096,-0.91864663,0
180,2009-04-28,-0.4969668,-0.39477062,0
181,2009-04-29,0.96761197,0.9996277,1
182,2009-04-30,-0.9864712,-0.8608187,0
183,2009-05-01,0.95275396,0.9854817,1
184,2009-05-04,0.9288358,0.9627096,1
185,2009-05-05,-1.1317931,-0.99917704,0
186,2009-05-06,0.9678733,0.9998765,1
187,2009-05-07,-1.077044,-0.94705135,0
188,2009-05-08,0.4176357,0.47600552,1
189,2009-05-11,-1.1326575,-1.0,0
190,2009-05-12,0.72385496,0.7675512,1
191,2009-05-13,-1.1301353,-0.9975986,0
192,2009-05-14,0.9679234,0.9999242,1
193,2009-05-15,-1.1325638,-0.99991083,0
194,2009-05-18,-0.15297139,-0.067258954,1
195,2009-05-19,-1.123549,-0.9913278,0
196,2009-05-20,-0.72543836,-0.6122942,0
197,2009-05-21,-1.1306533,-0.9980918,0
198,2009-05-22,-1.1325672,-0.99991393,0
199,2009-05-26,0.9672374,0.9992711,1
200,2009-05-27,-1.1314789,-0.9988779,0
